"","score","text"
"1",0,"RT @kmlshdbh: #AntiBlackMoneyDay 
@OfficeOfRG <U+0938><U+092E><U+0947><U+0924> <U+0938><U+092E><U+0942><U+091A><U+093E> <U+0935><U+093F><U+092A><U+0915><U+094D><U+0937> <U+0928><U+0902><U+0926><U+0932><U+093E><U+0932> <U+091C><U+0940> <U+0915><U+0940> <U+0924><U+0938><U+094D><U+0935><U+0940><U+0930> <U+0926><U+093F><U+0916><U+093E><U+0915><U+0930> <U+0928><U+094B><U+091F><U+092C><U+0928><U+094D><U+0926><U+0940> <U+0915><U+0947> <U+0935><U+093F><U+0930><U+094B><U+0927> <U+092E><U+0947><U+0902> <U+091F><U+094D><U+0935><U+0940><U+091F> <U+0915><U+093F><U+092F><U+093E> <U+0935><U+0939><U+0940> <U+0928><U+0902><U+0926><U+0932><U+093E><U+0932> <U+091C><U+0940> <U+0906>…"
"2",-1,"on# Demonetisationanniversary#Nov 8 the memory of greatest fool who destroyed the economy , look back at how hard t… https://t.co/hGbAiWtslh"
"3",0,"RT @aajtak: <U+0928><U+094B><U+091F><U+092C><U+0902><U+0926><U+0940> <U+092E><U+0947><U+0902> 500 <U+0914><U+0930> 1000 <U+0930><U+0941><U+092A><U+090F> <U+0915><U+0947> <U+0928><U+094B><U+091F> <U+092C><U+0902><U+0926> <U+0939><U+094B><U+0928><U+0947> <U+0938><U+0947> <U+0928><U+0915><U+094D><U+0938><U+0932><U+093F><U+092F><U+094B><U+0902>, <U+0906><U+0924><U+0902><U+0915><U+0935><U+093E><U+0926><U+093F><U+092F><U+094B><U+0902> <U+0914><U+0930> <U+0939><U+0935><U+093E><U+0932><U+093E> <U+0915><U+093E><U+0930><U+094B><U+092C><U+093E><U+0930><U+093F><U+092F><U+094B><U+0902> <U+0915><U+0940> <U+0915><U+092E><U+0930> <U+091C><U+0930><U+0942><U+0930> <U+092C><U+0941><U+0930><U+0940> <U+0924><U+0930><U+0939> <U+091F><U+0942><U+091F><U+0940> <U+0939><U+0948>.
#Anti…"
"4",0,"RT @timesofindia: .@NitishKumar congratulates @narendramodi govt on 1st anniversary of note ban https://t.co/WQkDpWKHNL https://t.co/TRQwCE…"
"5",-2,"RT @firstpost: #BlackMoney is a flow, not stock | Idea that illicit earnings are stashed away in an accumulating hoard is a source of endle…"
"6",1,"RT @moneycontrolcom: Demonetisation: How Paytm gained from note ban and why it used PM Modi's pic in ads
https://t.co/D13WGQdQUG"
"7",0,"RT @realkeerthi: Note Ban is Largest Money Laundering Scheme Ever. : Arun Shourie
#DemonetisationAnniversary https://t.co/s0PIMCmtvr"
"8",0,"Big victory in fight against J&amp;K terror funding; NIA seizes Rs 36.34 cr of demonetised notes on eve of note ban ann… https://t.co/K4skmDFFdx"
"9",0,"Demonetisation in India: 10 ways note ban powered-up Modi government’s digital drive, cashless payments https://t.co/f3449xHaVg"
"10",1,"Paytm plans $1 billion top-up to cash in on note ban success via Payments News - from Glenbrook ... https://t.co/T0LAE5uz1f"
"11",0,"@arzabegisayed Bhai matlab mere ko note ginane aate hai. To Main RBI governor ban jaun"
"12",0,"RT @RSPandeyBJP: Big victory fight against J&amp;K terror funding;NIAseizes Rs 36.34cr of demonetised notes on eve of note ban anniversary http…"
"13",-1,"RT @NEWS9TWEETS: Traders observe #BlackDay at #RusselMarket in #Bengaluru. Shopkeepers still unhappy with note ban. https://t.co/dZsg7oLWyH"
"14",0,"RT @MahilaCongress: No idea if any #BlackMoney  was found or not but millions of White Collar jobs sure went out of the window. #BJPMoneyLa…"
